State,County,2010_Population,Food_Desert_Population,Food_Desert_Low_Income
Illinois,Gallatin,5589,4205,1636
Illinois,Greene,13886,1891,1014
Illinois,Grundy,50063,15055,3080
Illinois,Hamilton,8457,1409,463
Illinois,Hancock,19104,8198,2984
Illinois,Hardin,4320,715,206
Illinois,Henderson,7331,99,33
Illinois,Henry,50486,11434,3267
Illinois,Iroquois,29718,5150,1648
Illinois,Jackson,60218,21008,9623
Illinois,Jasper,9698,1477,404
Illinois,Jefferson,38827,11677,4382
Illinois,Jersey,22985,4054,871
Illinois,Jo Daviess,22678,4378,1244
Illinois,Johnson,12582,1352,511
Illinois,Kane,515269,108259,21648
Illinois,Kankakee,113449,17106,4697
Illinois,Kendall,114736,34088,6194
Illinois,Knox,52919,11162,4134
Illinois,La Salle,113924,27093,7679
Illinois,Lake,703462,249390,40959
Illinois,Lawrence,16833,3480,1270
Illinois,Lee,36031,5904,1774
Illinois,Livingston,38950,4088,1397
Illinois,Logan,30305,7399,2167
Illinois,Macon,110768,36171,8167
Illinois,Macoupin,47765,8797,3466
Illinois,Madison,269282,100689,32340
Illinois,Marion,39437,9896,4647
Illinois,Marshall,12640,265,82
Illinois,Mason,14666,4526,1780
Illinois,Massac,15429,849,349
Illinois,McDonough,32612,6813,2971
Illinois,McHenry,308760,134513,23067
Illinois,McLean,169572,55623,17999
Illinois,Menard,12705,1637,271
Illinois,Mercer,16434,3696,1403
Illinois,Monroe,32957,12350,1846
Illinois,Montgomery,30104,6885,2283
Illinois,Morgan,35547,13202,5218
Illinois,Moultrie,14846,374,109
Illinois,Ogle,53497,7907,2304
Illinois,Peoria,186494,46697,12895
Illinois,Perry,22350,5153,2504
Illinois,Piatt,16729,1531,267
Illinois,Pike,16430,3471,1631
Illinois,Pope,4470,1082,341
Illinois,Pulaski,6161,1284,591
Illinois,Putnam,6006,656,132
Illinois,Randolph,33476,8456,2682
Illinois,Richland,16233,1179,479
Illinois,Rock Island,147546,18892,7024
Illinois,Saline,24913,8872,4448
Illinois,Sangamon,197465,42405,9205
Illinois,Schuyler,7544,1293,387
Illinois,Scott,5355,223,68
Illinois,Shelby,22363,5588,2099
Illinois,St. Clair,270056,85141,30034
Illinois,Stark,5994,1799,562
Illinois,Stephenson,47711,3307,942
Illinois,Tazewell,135394,55391,13179
Illinois,Union,17808,3124,1289
Illinois,Vermilion,81625,12105,4361
Illinois,Wabash,11947,1906,550
Illinois,Warren,17707,1405,730
Illinois,Washington,14716,1729,626
Illinois,Wayne,16760,4118,1474
Illinois,White,14665,4613,2232
Illinois,Whiteside,58498,14474,4556
Illinois,Will,677560,276630,47533
Illinois,Williamson,66357,12550,3816
Illinois,Winnebago,295266,79726,21279
Illinois,Woodford,38664,12048,1998
Indiana,Adams,34387,5837,1632
Indiana,Allen,355329,123174,38112
Indiana,Bartholomew,76794,26061,7841
Indiana,Benton,8854,140,73
Indiana,Blackford,12766,152,79
Indiana,Boone,56640,9806,1219
Indiana,Brown,15242,469,192
Indiana,Carroll,20155,411,154
Indiana,Cass,38966,1263,427
Indiana,Clark,110232,25642,7416
Indiana,Clay,26890,5669,1391
Indiana,Clinton,33224,552,201
Indiana,Crawford,10713,1561,499
Indiana,Daviess,31648,3729,1785
Indiana,DeKalb,42223,8922,2910
Indiana,Dearborn,50047,21326,5062
Indiana,Decatur,25740,3361,1289
Indiana,Delaware,117671,32629,9772
Indiana,Dubois,41889,8117,1772
Indiana,Elkhart,197559,60041,20731
Indiana,Fayette,24277,4759,1914
Indiana,Floyd,74578,18498,4946
Indiana,Fountain,17240,1424,494
Indiana,Franklin,23087,1709,979
Indiana,Fulton,20836,2083,1033
Indiana,Gibson,33503,1380,507
Indiana,Grant,70061,11591,5259
Indiana,Greene,33165,4615,2192
Indiana,Hamilton,274569,128228,15366
Indiana,Hancock,70002,22209,4881
Indiana,Harrison,39364,15,5
Indiana,Hendricks,145448,66110,9715
Indiana,Henry,49462,3412,1193
Indiana,Howard,82752,17103,5514
Indiana,Huntington,37124,10426,3861
Indiana,Jackson,42376,12762,3902
Indiana,Jasper,33478,4371,869
Indiana,Jay,21253,4637,2138
Indiana,Jefferson,32428,2962,1254
Indiana,Jennings,28525,7121,3540
Indiana,Johnson,139654,33599,8721
Indiana,Knox,38440,9405,2548
Indiana,Kosciusko,77358,14577,4233
Indiana,LaGrange,37128,1920,821
Indiana,LaPorte,111467,32782,14759
Indiana,Lake,496005,155064,51624
Indiana,Lawrence,46134,3309,1535
Indiana,Madison,131636,37888,13859
Indiana,Marion,903393,242774,85461
Indiana,Marshall,47051,7023,2495
Indiana,Martin,10334,1345,367
Indiana,Miami,36903,9348,4717
Indiana,Monroe,137974,21354,6581
Indiana,Montgomery,38124,4998,2370
Indiana,Morgan,68894,16489,3618
